区域,来源,点估计份额,P2.5,P50,P97.5
A1,火电,0.2550698760806088,0.2513468339736809,0.2540248308777445,0.2566602392149138
A1,水电,0.013831886029504087,0.013295089244941497,0.013759410834376738,0.014179783543700076
A1,风电,0.010106331183112039,0.009609125907871727,0.01003838842410968,0.010509887584183959
A1,光伏,0.026616557494555857,0.025959337457538825,0.02644201353458498,0.02690267635757267
A1,省外输入,0.6943753492122192,0.6929514694657574,0.6957601769846253,0.6983661877275904
A2,火电,0.4979897263051633,0.4957223651290074,0.49859462852297687,0.5017688777522608
A2,水电,0.055665159214903184,0.05450044006915189,0.05543061861110435,0.056492784031996576
A2,风电,0.025280124431263547,0.02459586127487432,0.025212731729311835,0.025742718127198125
A2,光伏,0.03598853668809064,0.035232019771875796,0.035875215540268124,0.03652875317395617
A2,省外输入,0.3850764533605791,0.38202744433551855,0.384945126292923,0.3877225239925303
A3,火电,0.39219640866645694,0.3883752724733644,0.39120844301432467,0.3937570672274466
A3,水电,0.023779501482252573,0.021932070442565777,0.023982193538249992,0.02631843366693028
A3,风电,0.033049084413906624,0.03216173778001245,0.032964086191920226,0.03374861713717717
A3,光伏,0.06650209045795712,0.06541016995770822,0.06623754587556255,0.06706157351352292
A3,省外输入,0.4844729149794267,0.48228451541214307,0.4855765282110466,0.48849376299331937
A4,火电,0.3379925973339625,0.3336640333945793,0.337025894383308,0.34002236058494617
A4,水电,0.016129583362285815,0.013853939428656488,0.016360895175829795,0.019224582542597773
A4,风电,0.014244995670328765,0.0138340551475325,0.014157485888172915,0.014458404442347111
A4,光伏,0.014418365633099029,0.013967356712251636,0.014304762141071799,0.014623724126047977
A4,省外输入,0.6172144580003238,0.6143170554381323,0.618079455436007,0.6217460561325889
A5,火电,0.13359050930801544,0.13142680990917183,0.13298559040975738,0.13459091622222494
A5,水电,0.7267685927585168,0.7252298077916463,0.7276064239637043,0.7302270813287137
A5,风电,0.053904177533283866,0.05254850554182475,0.05359356142897001,0.054665233948608304
A5,光伏,0.042867924386556074,0.04175577903527318,0.04283158092501636,0.0441369985152004
A5,省外输入,0.042868796013627704,0.04196398179696483,0.04291840379018379,0.0438868323156032
A6,火电,0.19030975574314613,0.18725926369248583,0.18959923655612862,0.19179670839319998
A6,水电,0.022118131830826837,0.021307770524664853,0.022036482558887727,0.022706334770057596
A6,风电,0.026153597094726866,0.025303146166034962,0.02604318536891955,0.02671462333355804
A6,光伏,0.048671235547508226,0.04769223584024222,0.048391878127146105,0.04920214842125664
A6,省外输入,0.712747279783792,0.7114556117276356,0.7140294727032346,0.7166014595220953
A7,火电,0.15388343354400993,0.1515476841272199,0.15342033338927258,0.1551918521133258
A7,水电,0.5651523861453078,0.5622911359664751,0.5655390052687809,0.5688169275103063
A7,风电,0.1293394865660984,0.12637243770264284,0.12904864583341086,0.13174791187902846
A7,光伏,0.09026602916929742,0.08837582422871329,0.09024895066943955,0.09196408817699242
A7,省外输入,0.06135866457528638,0.060841238726416856,0.061676245806318614,0.06259070210109496
A8,火电,0.3534896557626698,0.3506138384893757,0.35338739050047263,0.35628452725700377
A8,水电,0.30401369988325727,0.30126223794671075,0.3039149508457414,0.30642004289410346
A8,风电,0.0905875102111212,0.08911376716505302,0.09041523670943519,0.09170679655132252
A8,光伏,0.05993019850844072,0.05864342031810418,0.059851894669055834,0.06130383175845466
A8,省外输入,0.19197893563451068,0.19048722394651085,0.1923538943039511,0.19440572322979444
